name,address,type,number,scheme,id,postal
Halal Section @ NTUC FAIRPRICE,524A JELAPANG ROAD #03-13 GREENRIDGE SHOPPING CENTRE 671524,Halal Section,EEHS20250000111,Eating Establishment,a1a69f2c-1926-475b-afa9-73efa6b685e1,671524
Halal Section @ NTUC FAIRPRICE,524A JELAPANG ROAD #03-13 GREENRIDGE SHOPPING CENTRE 671524,Central Kitchen,FPCK20250000056,Food Preparation Area,a1a69f2c-1926-475b-afa9-73efa6b685e1,671524
Halal Section @ NTUC FAIRPRICE,17 Petir Road #B2-67 Hillion Mall 678278,Halal Section,EECN21070000441,Eating Establishment,a1a69f2c-1926-475b-afa9-73efa6b685e1,678278
Halal Section @ NTUC FAIRPRICE,100 HOUGANG AVENUE 10 #01-01 KANG KAR MALL 538767,Central Kitchen,FPCK20240000182,Food Preparation Area,a1a69f2c-1926-475b-afa9-73efa6b685e1,538767
Halal Section @ NTUC FAIRPRICE,1 Stadium Place #01-29 Kallang Wave Mall 397628,Central Kitchen,FPCN21120001632,Food Preparation Area,a1a69f2c-1926-475b-afa9-73efa6b685e1,397628
Halal Section @ NTUC FAIRPRICE,53 Ang Mo Kio avenue 3 #B2-40 AMK HUB 569933,Halal Section,EECN21070000453,Eating Establishment,a1a69f2c-1926-475b-afa9-73efa6b685e1,569933
Halal Section @ NTUC FAIRPRICE,681 PUNGGOL DRIVE #B1-01 820681,Halal Section,EEHS20230000838,Eating Establishment,a1a69f2c-1926-475b-afa9-73efa6b685e1,820681
Halal Section @ NTUC FAIRPRICE,1 TAMPINES WALK #B1-01 OUR TAMPINES HUB 528523,Halal Section,EEHS20250000644,Eating Establishment,a1a69f2c-1926-475b-afa9-73efa6b685e1,528523
Halal Section @ NTUC FAIRPRICE,1 HARBOURFRONT WALK #B2-23 #01-23 VIVO CITY 098585,Central Kitchen,FPCK20220000495,Food Preparation Area,a1a69f2c-1926-475b-afa9-73efa6b685e1,098585
Halal Section @ NTUC FAIRPRICE,1 HOUGANG STREET 91 #02-01 HOUGANG POINT 538692,Central Kitchen,FPCK20220000496,Food Preparation Area,a1a69f2c-1926-475b-afa9-73efa6b685e1,538692
Halal Section @ NTUC FAIRPRICE,451 CLEMENTI AVENUE 3 #01-307 120451,Central Kitchen,FPCK20220001036,Food Preparation Area,a1a69f2c-1926-475b-afa9-73efa6b685e1,120451
